Year,PlayerName,Price
2025,Noor Ahmad,"10,00,00,000"
2025,Ravichandaran Ashwin,"9,75,00,000"
2025,Devon Conway,"6,25,00,000"
2025,Syed Khaleel Ahmed,"4,80,00,000"
2025,Rachin Ravindra,"4,00,00,000"
2025,Anshul Kamboj,"3,40,00,000"
2025,Rahul Tripathi,"3,40,00,000"
2025,Sam Curran,"2,40,00,000"
2025,Gurjapneet Singh,"2,20,00,000"
2025,Nathan Ellis,"2,00,00,000"
2025,Deepak Hooda,"1,70,00,000"
2025,Jamie Overton,"1,50,00,000"
2025,Vijay Shankar,"1,20,00,000"
2025,Vansh Bedi,"55,00,000"
2025,Andre Siddarth,"30,00,000"
2025,Shreyas Gopal,"30,00,000"
2025,Ramakrishna Ghosh,"30,00,000"
2025,Kamlesh Nagarkoti,"30,00,000"
2025,Mukesh Choudhary,"30,00,000"
2025,Shaik Rasheed,"30,00,000"
2025,KL Rahul,"14,00,00,000"
2025,Mitchell Starc,"11,75,00,000"
2025,T. Natarajan,"10,75,00,000"
2025,Jake Fraser-Mcgurk,"9,00,00,000"
2025,Mukesh Kumar,"8,00,00,000"
2025,Harry Brook,"6,25,00,000"
2025,Ashutosh Sharma,"3,80,00,000"
2025,Mohit Sharma,"2,20,00,000"
2025,Faf Du Plessis,"2,00,00,000"
2025,Sameer Rizvi,"95,00,000"
2025,Donovan Ferreira,"75,00,000"
2025,Dushmantha Chameera,"75,00,000"
2025,Vipraj Nigam,"50,00,000"
2025,Karun Nair,"50,00,000"
2025,Madhav Tiwari,"40,00,000"
2025,Tripurana Vijay,"30,00,000"
2025,Manvanth Kumar L,"30,00,000"
2025,Ajay Mandal,"30,00,000"
2025,Darshan Nalkande,"30,00,000"
2025,Jos  Buttler,"15,75,00,000"
2025,Mohammad Siraj,"12,25,00,000"
2025,Kagiso Rabada,"10,75,00,000"
2025,Prasidh Krishna,"9,50,00,000"
2025,Washington Sundar,"3,20,00,000"
2025,Sherfane Rutherford,"2,60,00,000"
2025,Gerald Coetzee,"2,40,00,000"
2025,Glenn Phillips,"2,00,00,000"
2025,R. Sai Kishore,"2,00,00,000"
2025,Mahipal Lomror,"1,70,00,000"
2025,Gurnoor Singh Brar,"1,30,00,000"
2025,Mohd. Arshad Khan,"1,30,00,000"
2025,Karim Janat,"75,00,000"
2025,Jayant Yadav,"75,00,000"
2025,Ishant Sharma,"75,00,000"
2025,Kumar Kushagra,"65,00,000"
2025,Kulwant Khejroliya,"30,00,000"
2025,Manav Suthar,"30,00,000"
2025,Anuj Rawat,"30,00,000"
2025,Nishant Sindhu,"30,00,000"
2025,Venkatesh Iyer,"23,75,00,000"
2025,Anrich Nortje,"6,50,00,000"
2025,Quinton De Kock,"3,60,00,000"
2025,Angkrish Raghuvanshi,"3,00,00,000"
2025,Spencer Johnson,"2,80,00,000"
2025,Moeen Ali,"2,00,00,000"
2025,Rahmanullah Gurbaz,"2,00,00,000"
2025,Vaibhav Arora,"1,80,00,000"
2025,Ajinkya Rahane,"1,50,00,000"
2025,Rovman Powell,"1,50,00,000"
2025,Umran  Malik,"75,00,000"
2025,Manish Pandey,"75,00,000"
2025,Anukul Roy,"40,00,000"
2025,Luvnith Sisodia,"30,00,000"
2025,Mayank Markande,"30,00,000"
2025,Rishabh Pant,"27,00,00,000"
2025,Avesh Khan,"9,75,00,000"
2025,Akash Deep,"8,00,00,000"
2025,David Miller,"7,50,00,000"
2025,Abdul Samad,"4,20,00,000"
2025,Mitchell Marsh,"3,40,00,000"
2025,Shahbaz Ahamad,"2,40,00,000"
2025,Aiden Markram,"2,00,00,000"
2025,Matthew Breetzke,"75,00,000"
2025,Shamar Joseph,"75,00,000"
2025,M. Siddharth,"75,00,000"
2025,Arshin Kulkarni,"30,00,000"
2025,Rajvardhan Hangargekar,"30,00,000"
2025,Yuvraj Chaudhary,"30,00,000"
2025,Prince Yadav,"30,00,000"
2025,Akash Singh,"30,00,000"
2025,Digvesh Singh,"30,00,000"
2025,Himmat Singh,"30,00,000"
2025,Aryan Juyal,"30,00,000"
2025,Trent Boult,"12,50,00,000"
2025,Deepak Chahar,"9,25,00,000"
2025,Will Jacks,"5,25,00,000"
2025,Naman Dhir,"5,25,00,000"
2025,Allah  Ghazanfar,"4,80,00,000"
2025,Mitchell Santner,"2,00,00,000"
2025,Ryan Rickelton,"1,00,00,000"
2025,Lizaad Williams,"75,00,000"
2025,Reece Topley,"75,00,000"
2025,Robin Minz,"65,00,000"
2025,Karn Sharma,"50,00,000"
2025,Vignesh Puthur,"30,00,000"
2025,Arjun  Tendulkar,"30,00,000"
2025,Bevan John Jacobs,"30,00,000"
2025,Venkata Satyanarayana Penmetsa,"30,00,000"
2025,Raj Angad Bawa,"30,00,000"
2025,Shrijith Krishnan,"30,00,000"
2025,Ashwani Kumar,"30,00,000"
2025,Shreyas Iyer,"26,75,00,000"
2025,Yuzvendra Chahal,"18,00,00,000"
2025,Arshdeep Singh,"18,00,00,000"
2025,Marcus Stoinis,"11,00,00,000"
2025,Marco Jansen,"7,00,00,000"
2025,Nehal Wadhera,"4,20,00,000"
